AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.684,0.817079481295181,XGB.684,0.813972166731816,XGB.684,0.811323891369963,XGB.684,0.816910947477688,XGB.684,0.821208684069839,XGB.684,0.82236276439916,XGB.684,0.817676576378108,XGB.684,0.811328933699571,XGB.684,0.818014055711053,XGB.684,0.819950803012361,XGB.684,0.823342673611263,XGB.684,0.811850795849798,XGB.684,0.812805888748762,XGB.684,0.816358372767624,XGB.684,0.818927782241983
XGB.1267,0.814298958689565,XGB.1267,0.817007144862933,XGB.1267,0.812973793856336,XGB.1267,0.818125992868286,XGB.1267,0.820568633932696,XGB.1267,0.823714949447512,XGB.1267,0.822790348064161,XGB.1267,0.812817073712604,XGB.1267,0.817271185425008,XGB.1267,0.821638070174234,XGB.1267,0.823907798792029,XGB.1267,0.812929590702505,XGB.1267,0.816557172862105,XGB.1267,0.819537974931996,XGB.1267,0.816210589625895
random_forest.76,0.806744457468342,random_forest.76,0.811842146722688,random_forest.76,0.799901838156971,random_forest.76,0.809377193492763,random_forest.76,0.81259531716888,random_forest.76,0.812867388392703,random_forest.76,0.813828546574183,random_forest.76,0.804359999442003,random_forest.76,0.808831756989551,random_forest.76,0.810090047817688,random_forest.76,0.81385585612727,random_forest.76,0.805773333346688,random_forest.76,0.811470053778202,random_forest.76,0.810246581924612,random_forest.76,0.804940834555232
elastic_net.1,0.807897006742508,elastic_net.1,0.803128250497498,elastic_net.1,0.792409416648437,elastic_net.1,0.802358542794996,elastic_net.1,0.805318695103649,elastic_net.1,0.809274086403006,elastic_net.1,0.804299557001509,elastic_net.1,0.800420226377871,elastic_net.1,0.806253856254205,elastic_net.1,0.801606260231476,elastic_net.1,0.805521886002138,elastic_net.1,0.797151665051556,elastic_net.1,0.801440369531564,elastic_net.1,0.799859021225512,elastic_net.1,0.804971508375854
elastic_net_interactions.4,0.810845729531121,elastic_net_interactions.4,0.808111104825579,elastic_net_interactions.4,0.801930724814775,elastic_net_interactions.4,0.806011187974986,elastic_net_interactions.4,0.816106804922395,elastic_net_interactions.4,0.812698498248682,elastic_net_interactions.4,0.810106075737069,elastic_net_interactions.4,0.803207686547336,elastic_net_interactions.4,0.811284726805412,elastic_net_interactions.4,0.808620371562204,elastic_net_interactions.4,0.812488169306633,elastic_net_interactions.4,0.802060268655497,elastic_net_interactions.4,0.813733001602043,elastic_net_interactions.4,0.81015590514611,elastic_net_interactions.4,0.80915006333383
