AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.770,0.819792640886392,XGB.770,0.817486298192298,XGB.770,0.815957105898563,XGB.770,0.82055114992537,XGB.770,0.823533711286794,XGB.770,0.824354516676308,XGB.770,0.823983871251394,XGB.770,0.815120231589902,XGB.770,0.817844709151451,XGB.770,0.822628618104284,XGB.770,0.824784969295262,XGB.770,0.814240979166744,XGB.770,0.819426659559015,XGB.770,0.822276143501626,XGB.770,0.819462793993119
XGB.684,0.816933559651125,XGB.684,0.814560657158624,XGB.684,0.81016051075477,XGB.684,0.817789409706012,XGB.684,0.821398717974914,XGB.684,0.822289475880162,XGB.684,0.81671524566044,XGB.684,0.813843504138487,XGB.684,0.815389931790745,XGB.684,0.819157452107131,XGB.684,0.821327598709844,XGB.684,0.813796671407524,XGB.684,0.811487962616111,XGB.684,0.818991835867171,XGB.684,0.815625737793202
XGB.1267,0.817008213538933,XGB.1267,0.814414878997529,XGB.1267,0.810290385747695,XGB.1267,0.816423552905833,XGB.1267,0.822404943632824,XGB.1267,0.821610917068727,XGB.1267,0.823356046621299,XGB.1267,0.813779522210963,XGB.1267,0.815737248570903,XGB.1267,0.823888556476781,XGB.1267,0.822080366291397,XGB.1267,0.81602176670036,XGB.1267,0.816368850248807,XGB.1267,0.820910977479563,XGB.1267,0.816307525220412
random_forest.76,0.806249780982582,random_forest.76,0.812647003425705,random_forest.76,0.799491601825066,random_forest.76,0.809532793856404,random_forest.76,0.813015448477209,random_forest.76,0.813972725616277,random_forest.76,0.813511375559569,random_forest.76,0.80478184318456,random_forest.76,0.808522896493031,random_forest.76,0.809863993767328,random_forest.76,0.814168133362918,random_forest.76,0.806300185588624,random_forest.76,0.811401238329611,random_forest.76,0.81021017273993,random_forest.76,0.805289116778632
random_forest.44,0.805749726452314,random_forest.44,0.810480659861504,random_forest.44,0.797702416461812,random_forest.44,0.80837280977062,random_forest.44,0.811130264414539,random_forest.44,0.810498828158717,random_forest.44,0.812311313134494,random_forest.44,0.800786274396668,random_forest.44,0.805908743106943,random_forest.44,0.808466497305689,random_forest.44,0.811649458088164,random_forest.44,0.803417195443345,random_forest.44,0.809458237798909,random_forest.44,0.80915512075838,random_forest.44,0.804787326859187
random_forest.4,0.803890756648042,random_forest.4,0.809351279401519,random_forest.4,0.797605266808825,random_forest.4,0.808911624317583,random_forest.4,0.810416367794971,random_forest.4,0.810634340563962,random_forest.4,0.813087132397899,random_forest.4,0.802720107384693,random_forest.4,0.80827407543342,random_forest.4,0.809438989002443,random_forest.4,0.80881187213827,random_forest.4,0.803682999652398,random_forest.4,0.80984150817746,random_forest.4,0.80792121086559,random_forest.4,0.802038320197645
