AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.684,0.817497957970231,XGB.684,0.813441068699432,XGB.684,0.808056221379976,XGB.684,0.815913611726691,XGB.684,0.818726628229994,XGB.684,0.819529800266449,XGB.684,0.816842312816121,XGB.684,0.814473815198027,XGB.684,0.816141315014422,XGB.684,0.820189688984202,XGB.684,0.823028736528963,XGB.684,0.809532428893435,XGB.684,0.812324316282091,XGB.684,0.814882099513842,XGB.684,0.814705238203655
XGB.1267,0.81445292256845,XGB.1267,0.813984122396563,XGB.1267,0.809647951954875,XGB.1267,0.817422329786391,XGB.1267,0.818283284391998,XGB.1267,0.820578663778343,XGB.1267,0.821279213680515,XGB.1267,0.813611431779431,XGB.1267,0.81485246347664,XGB.1267,0.820737533844182,XGB.1267,0.823374738173248,XGB.1267,0.812969571432027,XGB.1267,0.818063118319076,XGB.1267,0.81748906636255,XGB.1267,0.813533624702204
random_forest.44,0.80359034330308,random_forest.44,0.809232368583703,random_forest.44,0.798291184880171,random_forest.44,0.807576180673833,random_forest.44,0.812413160013991,random_forest.44,0.810923908142606,random_forest.44,0.810681771792244,random_forest.44,0.803456247316811,random_forest.44,0.808080907224872,random_forest.44,0.809147253061512,random_forest.44,0.811956462169142,random_forest.44,0.804389750618043,random_forest.44,0.809423070492711,random_forest.44,0.807282018927013,random_forest.44,0.801854577281654
random_forest.4,0.805952941677061,random_forest.4,0.811771896329423,random_forest.4,0.797702360147265,random_forest.4,0.807769904071426,random_forest.4,0.811432266375359,random_forest.4,0.812399363001756,random_forest.4,0.812025341962074,random_forest.4,0.800602476910915,random_forest.4,0.807287241322612,random_forest.4,0.808439769969554,random_forest.4,0.812985130691791,random_forest.4,0.804828500613738,random_forest.4,0.808744303585338,random_forest.4,0.807023588585155,random_forest.4,0.803533229621866
