AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.851,0.750860583686013,XGB.851,0.750702455510957,XGB.851,0.74812320362542,XGB.851,0.753364930649133,XGB.851,0.757714103607069,XGB.851,0.757989484882065,XGB.851,0.75855260470399,XGB.851,0.751625270394192,XGB.851,0.754060794418412,XGB.851,0.761320117037575,XGB.851,0.763402240759118,XGB.851,0.746138296653186,XGB.851,0.753219708516185,XGB.851,0.754856382929006,XGB.851,0.761286327656349
XGB.55,0.750730273985186,XGB.55,0.751505075076566,XGB.55,0.749033786571199,XGB.55,0.753980576447478,XGB.55,0.755165508791186,XGB.55,0.757007867019217,XGB.55,0.755950243380127,XGB.55,0.751428959179227,XGB.55,0.757268157468557,XGB.55,0.762963312293343,XGB.55,0.764652923546696,XGB.55,0.745024324570609,XGB.55,0.751618860676412,XGB.55,0.756331736183025,XGB.55,0.757637705260701
random_forest.46,0.752421699158096,random_forest.46,0.759250636664928,random_forest.46,0.747037584469599,random_forest.46,0.756351918524034,random_forest.46,0.756395627740068,random_forest.46,0.759958692353064,random_forest.46,0.764319271119135,random_forest.46,0.750112890901225,random_forest.46,0.747204364039627,random_forest.46,0.762321448520601,random_forest.46,0.767902915612791,random_forest.46,0.747291330331701,random_forest.46,0.762746143650177,random_forest.46,0.755848696547536,random_forest.46,0.757736335611166
random_forest.4,0.754008801967345,random_forest.4,0.759332890730449,random_forest.4,0.744644735456019,random_forest.4,0.754165508198774,random_forest.4,0.757110200636589,random_forest.4,0.759351754806502,random_forest.4,0.765011783741382,random_forest.4,0.753746355397652,random_forest.4,0.751989386146623,random_forest.4,0.761839516861361,random_forest.4,0.767370923241071,random_forest.4,0.748105065386705,random_forest.4,0.761067128091584,random_forest.4,0.756022959628279,random_forest.4,0.757718274473225
