AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.851,0.752272142445786,XGB.851,0.754415508579937,XGB.851,0.751047969566565,XGB.851,0.750703302424439,XGB.851,0.757367244544273,XGB.851,0.761945991103816,XGB.851,0.760423064881664,XGB.851,0.749971614706721,XGB.851,0.75292132084971,XGB.851,0.764853246390823,XGB.851,0.761054982624035,XGB.851,0.744528793551421,XGB.851,0.751644701941772,XGB.851,0.757884921461718,XGB.851,0.762903625063016
XGB.55,0.751657944506257,XGB.55,0.750120873320891,XGB.55,0.7521925349593,XGB.55,0.748881759043464,XGB.55,0.754999627066245,XGB.55,0.763685022391244,XGB.55,0.760746885011699,XGB.55,0.75193008464088,XGB.55,0.755225491268961,XGB.55,0.765474559042564,XGB.55,0.763617784118634,XGB.55,0.743615113029684,XGB.55,0.749645331601858,XGB.55,0.75653939762096,XGB.55,0.75980469646838
random_forest.46,0.7545434547338,random_forest.46,0.76035326222589,random_forest.46,0.746012242940589,random_forest.46,0.755010094651359,random_forest.46,0.755767721725959,random_forest.46,0.75865265777673,random_forest.46,0.766585311107189,random_forest.46,0.75219939677636,random_forest.46,0.749682370792115,random_forest.46,0.762731469744294,random_forest.46,0.766342905434355,random_forest.46,0.748577688477283,random_forest.46,0.762302580784751,random_forest.46,0.756522810754813,random_forest.46,0.756167284419107
random_forest.4,0.756406153900401,random_forest.4,0.756158194542304,random_forest.4,0.744341802921108,random_forest.4,0.756774641402822,random_forest.4,0.756336458014458,random_forest.4,0.762083849180598,random_forest.4,0.765484299169628,random_forest.4,0.754163251655231,random_forest.4,0.751784877525571,random_forest.4,0.76132658966624,random_forest.4,0.765348808274314,random_forest.4,0.748475214238502,random_forest.4,0.759484788113183,random_forest.4,0.75530266609081,random_forest.4,0.758339892147493
