AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.770,0.819707560403254,XGB.770,0.817736785947343,XGB.770,0.8131326563719,XGB.770,0.818497683497171,XGB.770,0.824280375775524,XGB.770,0.825770555907356,XGB.770,0.823321830621011,XGB.770,0.816216174386343,XGB.770,0.81746381143915,XGB.770,0.823025750146559,XGB.770,0.826081698410715,XGB.770,0.815178505445364,XGB.770,0.819472734292509,XGB.770,0.822060792281195,XGB.770,0.819881591173335
XGB.684,0.815137334536014,XGB.684,0.812839500273877,XGB.684,0.807973014799731,XGB.684,0.815740576583657,XGB.684,0.816856884209728,XGB.684,0.821214510109176,XGB.684,0.817453167149182,XGB.684,0.811676720752074,XGB.684,0.815146561885284,XGB.684,0.822090304877043,XGB.684,0.823667537693788,XGB.684,0.813793887800317,XGB.684,0.814971109653325,XGB.684,0.816005885388525,XGB.684,0.820029180192752
XGB.1267,0.817223083906417,XGB.1267,0.814598720863558,XGB.1267,0.81164962646674,XGB.1267,0.813807344897358,XGB.1267,0.817115195425368,XGB.1267,0.822050138972061,XGB.1267,0.823821125868256,XGB.1267,0.814094060953688,XGB.1267,0.814682954752519,XGB.1267,0.821315362226034,XGB.1267,0.823065009962742,XGB.1267,0.812144224138547,XGB.1267,0.819599631782182,XGB.1267,0.822500687881721,XGB.1267,0.817239639812912
random_forest.76,0.805859782955978,random_forest.76,0.812750610258915,random_forest.76,0.799706377298517,random_forest.76,0.809474772323381,random_forest.76,0.812886030086218,random_forest.76,0.813235465331368,random_forest.76,0.81336448578929,random_forest.76,0.8042219313599,random_forest.76,0.808720203930355,random_forest.76,0.810234445256172,random_forest.76,0.814053075908843,random_forest.76,0.805857825861196,random_forest.76,0.811894941013054,random_forest.76,0.810319820002426,random_forest.76,0.804993515233548
random_forest.44,0.804152211829966,random_forest.44,0.810625828176611,random_forest.44,0.797989671828022,random_forest.44,0.807414733157689,random_forest.44,0.810016544863594,random_forest.44,0.812074039093963,random_forest.44,0.813938543671341,random_forest.44,0.801061737572885,random_forest.44,0.806170501537904,random_forest.44,0.809203473843434,random_forest.44,0.812648212019162,random_forest.44,0.80417822053052,random_forest.44,0.811819750556918,random_forest.44,0.808169798090952,random_forest.44,0.803039507809693
random_forest.4,0.804018794942461,random_forest.4,0.811041417015064,random_forest.4,0.79693822908444,random_forest.4,0.807844392359361,random_forest.4,0.812730564108015,random_forest.4,0.811616107036755,random_forest.4,0.813229339239545,random_forest.4,0.802071431038536,random_forest.4,0.808871918824279,random_forest.4,0.810713040102165,random_forest.4,0.81245052756236,random_forest.4,0.805174086194056,random_forest.4,0.808494432584226,random_forest.4,0.809820903264588,random_forest.4,0.802284177382687
