model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean
elastic_net,1,0.807897006742508,0.803128250497498,0.792409416648437,0.802358542794996,0.805318695103649,0.809274086403006,0.804299557001509,0.800420226377871,0.806253856254205,0.801606260231476,0.805521886002138,0.797151665051556,0.801440369531564,0.799859021225512,0.804971508375854,0.802794023216119
elastic_net,2,0.800172618621411,0.798136102292038,0.791347350985554,0.795351313936185,0.803068736502691,0.803921806881244,0.800482429273981,0.795244445371231,0.802948039296489,0.797011161618301,0.802846052001004,0.790685024479889,0.794615237959205,0.797528764675697,0.803023589322003,0.798425511547795
elastic_net,3,0.801044812960872,0.798615958777672,0.792478284085534,0.796467333669273,0.804310903413776,0.804087107505709,0.801858179266754,0.796438287273243,0.803409206505198,0.798504496480833,0.803673522533648,0.794332001593714,0.79620505147893,0.799576588879695,0.802884586110661,0.799592421369034
elastic_net,4,0.801216302843243,0.797689312262161,0.793020660304636,0.79783687322455,0.803246545388128,0.803725458544181,0.801333394943599,0.794923630489253,0.802493615417306,0.798183579335515,0.8028329035795,0.79700579315972,0.796614521245371,0.799670015108911,0.802047059927966,0.799455977718269
elastic_net,5,0.801750078800203,0.797249290236893,0.794035144934743,0.79876670355164,0.802351042382028,0.803478120717347,0.800576572716233,0.794692740556931,0.802097531425413,0.798307904922677,0.80278710939758,0.798792417000827,0.797346740169598,0.799511786994919,0.801481832597159,0.799548334426946
elastic_net,6,0.800736285913361,0.797014547846872,0.794137182047739,0.798768228483211,0.802143111624178,0.802417961858172,0.800212655345901,0.794093350243355,0.801958530140718,0.79831842411295,0.802889432970944,0.799143215945697,0.797087773375109,0.798784861879236,0.801008712856137,0.799247618309572
elastic_net,7,0.798260996250485,0.796433318452386,0.789929720206957,0.793424289754869,0.801734223967166,0.802136928475018,0.798952140584203,0.793398755818347,0.801479168949363,0.79558529737739,0.80134512485425,0.789514065500046,0.792626780123567,0.796352106263716,0.801148223572243,0.796821409343334
elastic_net,8,0.799815094911374,0.796660508263301,0.791464879430416,0.796071667178821,0.801794854698332,0.802311960585215,0.800323620531754,0.793543889402294,0.801608487897382,0.797042930697974,0.80166579640487,0.795306029161878,0.795255186023336,0.797653654223609,0.801243924474525,0.798117498925672
elastic_net,9,0.798627419435565,0.794656654544224,0.790785113332842,0.796101044509766,0.799577010403812,0.79978210552008,0.796939229611428,0.79138777877612,0.799014440240796,0.795575970022533,0.800461208765197,0.796356153138981,0.794678898042301,0.795653155410896,0.79850063622815,0.796539787865513
elastic_net,10,0.797736039058913,0.794084930147203,0.791904000716271,0.795974484046586,0.798799315580254,0.799653180534223,0.796108929059967,0.7912680226665,0.79840494401288,0.796075096489434,0.800198585136963,0.796739655690691,0.794040946408971,0.794979433488026,0.796619002154307,0.796172437679413
elastic_net,11,0.796208674166969,0.792272746894478,0.790327490990003,0.794699160362534,0.796040006988443,0.797759018983378,0.795007014116834,0.78976928000032,0.796183620642039,0.794975068896318,0.798460814601117,0.794850386384019,0.792284689565916,0.793600214731774,0.794389136261928,0.794455154905738
elastic_net,12,0.796847600180958,0.795095635691373,0.788571923156075,0.792076650745475,0.800638088205705,0.800579644500472,0.797686443659697,0.791894212823977,0.800332023698123,0.794449095735099,0.80028563508835,0.788690301500516,0.791241705763821,0.795255768538185,0.799719999795725,0.79555764860557
elastic_net,13,0.798752354978898,0.794499246855675,0.789768439263173,0.795130863021391,0.799322078688852,0.800280321972251,0.797751198172059,0.7909522130617,0.799401647991695,0.795161330952474,0.799760846358681,0.794815984290306,0.793998651313958,0.795207876529398,0.799009767666919,0.796254188074495
elastic_net,14,0.795492939146263,0.791681705430177,0.789068557204736,0.793624387881393,0.796151724172597,0.797259651214938,0.792995850680172,0.788359747822947,0.795989686750648,0.793230262731963,0.797376843855439,0.794212343032261,0.791716853942498,0.791904964414868,0.79414156119743,0.793547138631889
elastic_net,15,0.792603330692633,0.789073240939824,0.786687948229564,0.79182586215472,0.792309363095938,0.7942281658604,0.791233816185212,0.78617652161452,0.791979735764986,0.791534697206088,0.795094488148848,0.791427114237933,0.789503536037677,0.790208441733915,0.790963984267627,0.790990016411326
elastic_net,16,0.790211067468107,0.785854268059155,0.78369244440613,0.791308458264461,0.789973658833068,0.792060372406086,0.78970968425462,0.782867193170077,0.788430786439158,0.789779952873332,0.791511070917736,0.789593758142136,0.786933040183146,0.787006898722631,0.789530020987554,0.788564178341827
elastic_net,17,0.795746832271351,0.794071143632917,0.787518861883393,0.790890902655332,0.79945193276218,0.799331540362052,0.796589869322981,0.790710006571693,0.79942541892037,0.793600487689705,0.799328636034085,0.787982637356728,0.789977365040278,0.794380085531387,0.7985800643685,0.794505718960197
elastic_net,18,0.796997552107194,0.792202304828876,0.787768982542769,0.793660716402689,0.796841231411782,0.797612118095165,0.794675995270107,0.788292944078697,0.797005539335596,0.793402930382078,0.798254914787192,0.793839694168993,0.792562462345233,0.792562859979442,0.79651731602225,0.794146504117204
elastic_net,19,0.791606442338221,0.788189833062689,0.785396726672684,0.790306896485906,0.791475378942243,0.793188929352895,0.789549341983089,0.784614215620215,0.791723431457831,0.790038817446912,0.793850317660789,0.790520217961776,0.788415499593828,0.788610457875642,0.789828324523527,0.789820988731883
elastic_net,20,0.787342452842256,0.783594765526703,0.780824313142516,0.788619973085579,0.787310266771026,0.789394493549199,0.786587221153431,0.780279645212533,0.785579807759742,0.787113091122883,0.788753754166581,0.786494154284294,0.784465696365733,0.784425879242583,0.786429959721138,0.785814364929746
elastic_net,21,0.782975448914383,0.778389180300122,0.776187355241008,0.784700699767897,0.783281271581919,0.784803709439709,0.782816901275163,0.774906689047356,0.781044939134525,0.783379462554457,0.784254626164365,0.782502315141768,0.780236808586382,0.780343968222964,0.782876640739586,0.78151333440744
elastic_net,22,0.794687150479884,0.793094628008093,0.786397094756553,0.789937621418059,0.798498618076029,0.798156821233531,0.795669977257016,0.789656880125226,0.798512501398037,0.792728648544497,0.798364457964196,0.787326019441292,0.788921778545718,0.793475578794396,0.797505418721413,0.793528879650929
elastic_net,23,0.795256128529218,0.790588346303871,0.786548953161801,0.792463881712083,0.794757846543797,0.795430167972726,0.792134014666958,0.786351992447603,0.795108690930228,0.791757744341908,0.796406125181453,0.792827414769212,0.790775643335656,0.790373091286531,0.793939056457216,0.792314606509351
elastic_net,24,0.787578955009513,0.784005740774428,0.780864810919891,0.78721178832688,0.787091650361187,0.788951677311577,0.785979873113177,0.779997912554438,0.786677537724418,0.786850137752511,0.789210120729928,0.786635557825376,0.784439074825895,0.784479359239109,0.785620648687131,0.785706323010364
