model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean
XGB,1369,0.7527604040724541,0.75262225026413,0.7516459884315551,0.751864101318784,0.7563739028531529,0.759473894005213,0.7583112762735121,0.749315916411489,0.753617807281114,0.7624070793814441,0.7616710269508471,0.74541006072035,0.7505530801044509,0.754722906309728,0.762608967811875,0.75489057747934
XGB,1370,0.750338041583662,0.751833010303664,0.7516829581900071,0.751804933605347,0.755443497011278,0.7627552986306361,0.7598464458648541,0.751392134669338,0.7535163753737141,0.762561786014544,0.7600826121248729,0.747715971961978,0.7505999902558741,0.7577376134447521,0.7632536698154141,0.7553709559233291
XGB,1371,0.7544770717679641,0.7468417682415209,0.747480882295468,0.753171398128425,0.751431598940784,0.7613570110327791,0.758250674743355,0.745318665674015,0.7549379579504691,0.7627989879934549,0.7621319160665541,0.746066250571961,0.7491040816085459,0.7553523107621479,0.760681669055547,0.753960149655533
XGB,1372,0.7457762062609731,0.744873762188172,0.747519052914151,0.7443575519558709,0.7523530956384901,0.75560537883862,0.752289602061345,0.743532009814409,0.7444778936587491,0.7584266717904309,0.75749406083969,0.742414668941768,0.750469493507514,0.7538772003022429,0.753014291377494,0.749765396005995
XGB,1373,0.751074400253145,0.7548447568414229,0.751322659372928,0.7537166782453871,0.7579971133083729,0.762914467451867,0.759521019171345,0.749658985132226,0.755365487641716,0.7653602924701519,0.76427270300328,0.7480891871695259,0.7557288018913549,0.758647262023679,0.7613202263515819,0.756655602688532
XGB,1374,0.751960803704391,0.75212097163525,0.754178124352359,0.754734327112769,0.755273840924185,0.760886982688554,0.7598506353453169,0.7503318170060559,0.75733216254335,0.7650648527120172,0.762051184065634,0.74766909156176,0.755714481029678,0.760576194951323,0.7590515288976278,0.756453133235351
XGB,1375,0.754181666125779,0.7490139990451009,0.7524692971565351,0.7523956767402751,0.7563382690692351,0.7615117855731299,0.7605934807352901,0.7525771776877309,0.7513556369626372,0.764646287217453,0.7618367079038351,0.7497851883701229,0.753149476721399,0.756253888970473,0.760597719716955,0.75578041719973
XGB,1376,0.7443112734395501,0.7429466656119821,0.7469487567681891,0.743905600142107,0.749314760953468,0.750951660222134,0.753326112602218,0.743253898384341,0.74885731641122,0.755453503278981,0.7569796604223679,0.7396513497457621,0.7492554381412371,0.7544135255370091,0.760018565569835,0.749305872482027
XGB,1377,0.753035636873994,0.7536788298518761,0.753798822812895,0.754379938920884,0.757607468599734,0.762584792781988,0.758802863547932,0.752483300246728,0.755188131654105,0.7661910956703392,0.763973763239467,0.748234074913685,0.756167055999341,0.759508353550487,0.762649795731691,0.75721892829301
XGB,1378,0.753403477792698,0.7530268835503628,0.753392692345905,0.7519099883941289,0.7593456087448859,0.7621191746793922,0.759911116511548,0.7541480392080921,0.7569112965987981,0.763763491450717,0.7628410889326279,0.7497862334151691,0.7551379453107441,0.7595060283849441,0.761274972432701,0.7570985358501808
XGB,1379,0.751447763165072,0.750314614963003,0.7530747096968969,0.7536026107107789,0.7579155125170809,0.760187894573584,0.758625080769341,0.7512864107485729,0.757534132333898,0.7613841169244409,0.765408636626361,0.748687177447896,0.753829943333583,0.760051079870184,0.760767765337832,0.756274496601235
XGB,1380,0.7426273986020391,0.745200938614217,0.743438464876317,0.750293869097715,0.746542572787185,0.7579289500017901,0.751016221952205,0.7424781182826371,0.7495162036578029,0.7571977909811372,0.758707374196298,0.745068839217219,0.74473675701202,0.753426832829836,0.754552619838906,0.7495155301298221
XGB,1381,0.752339669672718,0.753816006849443,0.752445594794825,0.754356176535703,0.757833933170886,0.7621696291300791,0.758833920792132,0.752145510109734,0.756140205649469,0.766223712998273,0.7647326180921871,0.74874929773485,0.754979170672536,0.7586895477904029,0.7619827112429041,0.757029180349076
XGB,1382,0.7532687448555021,0.7532228489505359,0.754932151006033,0.7549396464103979,0.756028555413135,0.762801398152062,0.7593195180722758,0.7533324103521221,0.7556474694419009,0.7661984527029599,0.7640087057222129,0.7491852817449179,0.754542500137835,0.759936774078134,0.7617197587686859,0.7572722810539141
XGB,1383,0.7512057615751121,0.7505765989352371,0.7547700638833129,0.7537294478299821,0.755341833783696,0.761706805577905,0.7579053115915569,0.751216705000052,0.753360130521109,0.7632026661497959,0.762786769288837,0.7451361401985159,0.756733297509603,0.757001850883833,0.762483425516455,0.755810453883
XGB,1384,0.741240817353345,0.7410709227883309,0.7446584063181161,0.7463529905992501,0.7481623102998101,0.7577745834721491,0.754722853285646,0.743825465430803,0.7472009603507371,0.754633695788957,0.755004742686225,0.7378960041591149,0.745811132927322,0.749143663882001,0.752056011398271,0.747970304049338
XGB,1385,0.7537017380385891,0.7535097808002951,0.7535048479863671,0.7541779747521541,0.757638355251328,0.7630282682519129,0.76014969123126,0.7516167006997049,0.756235234446832,0.7660031544566421,0.7655923425147909,0.7469972353723892,0.7540709385621491,0.757841258042119,0.763077057239484,0.757142971843068
XGB,1386,0.7501970533495741,0.752751827189672,0.7543164065998101,0.752029313308522,0.756281786231745,0.7651130124641691,0.759993517454948,0.751690895871523,0.7560061864018929,0.7673899325049649,0.7640227434832572,0.7449062667991769,0.756031512452494,0.7583072045462091,0.761005437677874,0.7566695397557219
XGB,1387,0.7514599356926001,0.7497648284918721,0.754988140694975,0.754137823692542,0.758199372043675,0.7589627503642359,0.7567767009335609,0.748472128898682,0.75597029441403,0.7633661425310129,0.760292808150148,0.747532405018955,0.7558825679746499,0.7596081967200379,0.762589287122682,0.7558668921829109
XGB,1388,0.745279767511515,0.749181343371971,0.744629347701054,0.7426340177476459,0.7520552626397081,0.757162284886138,0.7506249101663391,0.740465117954574,0.742524255791302,0.7531743361826829,0.7582682835807809,0.7417770491982371,0.7466426208979822,0.751851800776124,0.7515983445616221,0.7485245828645121
XGB,1389,0.7522615057939741,0.7541969571399391,0.7544575443568221,0.754527753095882,0.7571154697393779,0.764244140611228,0.7599129585565642,0.7502265116729949,0.756639055091538,0.7668128548033141,0.764178195006668,0.74872931108518,0.7560107544149129,0.75784576353515,0.761071301475037,0.757215338425239
XGB,1390,0.755972981077518,0.753642380705392,0.752786166124354,0.75352620573004,0.7597495347301529,0.7621342538466289,0.7594736784701029,0.751574941502535,0.756031384054925,0.764941365356059,0.762959774795696,0.7472659099473199,0.7584912354209941,0.7586034363461059,0.7647370897694771,0.757459355858487
XGB,1391,0.75597292628353,0.7562548533898091,0.75538330685295,0.753165365447587,0.7587057461040291,0.764198624833162,0.7569245564580509,0.751799666137147,0.7547752058663351,0.7667020820670509,0.7640495190850021,0.74739871955424,0.7563847349789399,0.758113785781893,0.759498275605544,0.7572884912296851
XGB,1392,0.7482863132202341,0.746273479663537,0.743105394745038,0.746300413105804,0.746148030589398,0.759328565750755,0.7534109494780459,0.7424824901418621,0.7450362462893059,0.7613339754809,0.7576484092880881,0.7381511109708409,0.748302405858158,0.750373292732267,0.75382164790128,0.7493335150143678
XGB,1393,0.7531661216548822,0.7538383539122758,0.7523971672897031,0.7548598216717571,0.757882120815121,0.7630402714770559,0.759852826313935,0.75290477862049,0.7569604478614279,0.7657044774767571,0.765054425686984,0.7478268315250329,0.756108088971701,0.7574243212101149,0.762061680020443,0.7572721156338459
XGB,1394,0.7524973856530501,0.757131450965524,0.7518054229443109,0.7547687201466559,0.7575220930491121,0.762656948602795,0.7600891066072759,0.752332668510944,0.757987103456892,0.7669230537653651,0.764997440086353,0.7483594530961379,0.7580757618662758,0.7581562007991139,0.7618878999420992,0.757679380632794
XGB,1395,0.751393621516184,0.7558883086343541,0.7544719248842869,0.75408994877867,0.756468486156386,0.7628695516563929,0.7583145085407079,0.7509150038540741,0.7556949104236039,0.7643567189627409,0.761177079279481,0.7472418691293341,0.7560481674535009,0.756605875499205,0.756806359405514,0.7561561556116291
