model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean
rpart,1,0.639349513503068,0.649724106162419,0.640093615613191,0.631880276675283,0.635713984126178,0.642284756503443,0.652768209473155,0.635055141491692,0.633449161640929,0.644267287053237,0.648791325940397,0.642158212867995,0.637932598046876,0.634264967301076,0.6457561612692,0.640899287844543
rpart,2,0.664700969430695,0.667978527593833,0.661244327515972,0.650159601975321,0.671977769845416,0.659015824094036,0.66791701247135,0.665297019012961,0.672881246241065,0.65555428253483,0.665624786309822,0.641324687692887,0.665155374770005,0.662545441645463,0.677452101840547,0.663255264864947
rpart,3,0.650680873153669,0.633911202402945,0.631675808389252,0.635672544310591,0.650063584780174,0.639861396024079,0.622597137152915,0.63930553724652,0.64224985560191,0.640218928793674,0.63916629130386,0.637235829897552,0.641616924287285,0.646318293076855,0.639248136334886,0.639321489517078
rpart,4,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.628653987772747,0.617421766508969,0.620908166473286,0.627579413904335,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.620828970368429,0.62128720605491,0.621849405972715,0.621546798707037
rpart,5,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.610446152722527,0.616822223740054,0.620908166473286,0.613793602538406,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.602222909106336,0.62128720605491,0.621849405972715,0.618133515343893
rpart,6,0.652458952338475,0.66088242974138,0.650948341142974,0.643779573114144,0.65447193394748,0.651628783537447,0.664868903715215,0.664960763350063,0.639798675792907,0.654712082095258,0.662141756900363,0.664038263935786,0.653018057808756,0.648263502660609,0.653807829016361,0.654651989939815
rpart,7,0.664700969430695,0.667978527593833,0.661244327515972,0.650159601975321,0.671977769845416,0.658069038137009,0.66791701247135,0.665297019012961,0.672881246241065,0.65555428253483,0.664734089198865,0.641324687692887,0.665220645598836,0.662545441645463,0.677452101840547,0.663137117382337
rpart,8,0.650680873153669,0.633911202402945,0.631675808389252,0.635672544310591,0.650063584780174,0.639861396024079,0.622597137152915,0.63930553724652,0.64224985560191,0.640218928793674,0.63916629130386,0.637235829897552,0.641616924287285,0.646318293076855,0.639248136334886,0.639321489517078
rpart,9,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.628653987772747,0.617421766508969,0.620908166473286,0.627579413904335,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.620828970368429,0.62128720605491,0.621849405972715,0.621546798707037
rpart,10,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.610446152722527,0.616822223740054,0.620908166473286,0.613793602538406,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.602222909106336,0.62128720605491,0.621849405972715,0.618133515343893
rpart,11,0.664083394697164,0.663415739855645,0.657055619172834,0.650962221293306,0.664698421797172,0.658319046272395,0.66820786034703,0.668322392736102,0.654273916768471,0.652804726778752,0.663718748831463,0.668919729264654,0.654782899992384,0.659410790089648,0.657703347506087,0.660445257026874
rpart,12,0.664700969430695,0.669988474187593,0.661244327515972,0.650384701287046,0.6716214984313,0.657904070145032,0.66791701247135,0.664540874288963,0.672881246241065,0.656142446400548,0.664446855110656,0.641324687692887,0.66535144230331,0.662545441645463,0.671084318121571,0.662805224351563
rpart,13,0.650680873153669,0.633911202402945,0.631675808389252,0.635672544310591,0.650063584780174,0.639861396024079,0.622597137152915,0.63930553724652,0.64224985560191,0.640218928793674,0.63916629130386,0.637235829897552,0.641616924287285,0.646318293076855,0.639248136334886,0.639321489517078
rpart,14,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.628653987772747,0.617421766508969,0.620908166473286,0.627579413904335,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.620828970368429,0.62128720605491,0.621849405972715,0.621546798707037
rpart,15,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.610446152722527,0.616822223740054,0.620908166473286,0.613793602538406,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.602222909106336,0.62128720605491,0.621849405972715,0.618133515343893
rpart,16,0.673886741987735,0.667382960715735,0.661346182087408,0.660332633235274,0.670043216975996,0.669377975650574,0.674528769961849,0.668711729230834,0.654439884496587,0.660816352182874,0.673594178702729,0.668088719381839,0.66355976236466,0.662587177487417,0.668768689857862,0.666497664954625
rpart,17,0.664700969430695,0.669988474187593,0.661244327515972,0.651063374706067,0.672306883370578,0.657884656214206,0.667971554324174,0.664540874288963,0.672901270891228,0.656142446400548,0.664818793358767,0.641334802605369,0.665341944321758,0.662920807465546,0.67095959425604,0.662941384889167
rpart,18,0.650680873153669,0.633911202402945,0.631675808389252,0.635672544310591,0.650063584780174,0.639861396024079,0.622597137152915,0.63930553724652,0.64224985560191,0.640218928793674,0.63916629130386,0.637235829897552,0.641616924287285,0.646318293076855,0.639248136334886,0.639321489517078
rpart,19,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.628653987772747,0.617421766508969,0.620908166473286,0.627579413904335,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.620828970368429,0.62128720605491,0.621849405972715,0.621546798707037
rpart,20,0.620624838421317,0.623034843433968,0.610652492707957,0.616860174270309,0.610446152722527,0.616822223740054,0.620908166473286,0.613793602538406,0.624177008087839,0.617336279684368,0.626319733150481,0.625667693793929,0.602222909106336,0.62128720605491,0.621849405972715,0.618133515343893
rpart,21,0.674351401400211,0.670555727096115,0.669986069521142,0.660798626225854,0.673892480063468,0.673956730349997,0.670629671344077,0.677344204302603,0.652410176985356,0.663963589220114,0.671168596002707,0.673049446628165,0.671260961889974,0.666910611086459,0.678046350091558,0.66988830948052
