AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.109,0.754555295629532,XGB.109,0.756844845943361,XGB.109,0.754974208263175,XGB.109,0.757164675175055,XGB.109,0.758642624027632,XGB.109,0.76469498978806,XGB.109,0.759973183946313,XGB.109,0.754791255493959,XGB.109,0.758499750806885,XGB.109,0.766638262370401,XGB.109,0.767977382314089,XGB.109,0.749869982032916,XGB.109,0.757455218352687,XGB.109,0.759387922226443,XGB.109,0.76573083411877
XGB.851,0.75072140014565,XGB.851,0.753905836782419,XGB.851,0.751211835645264,XGB.851,0.756344030592794,XGB.851,0.75818118821326,XGB.851,0.757965279690753,XGB.851,0.760224062231469,XGB.851,0.751780292883785,XGB.851,0.755387250780773,XGB.851,0.763451961394627,XGB.851,0.766800417365178,XGB.851,0.746741057045593,XGB.851,0.748645326441014,XGB.851,0.754521476780681,XGB.851,0.763330507649016
XGB.55,0.752259233878413,XGB.55,0.753422366755828,XGB.55,0.751494457254271,XGB.55,0.752056867892977,XGB.55,0.757260811625335,XGB.55,0.766085704384374,XGB.55,0.75821385863123,XGB.55,0.752668680346837,XGB.55,0.752232725864487,XGB.55,0.762015781842894,XGB.55,0.76288974087551,XGB.55,0.748986432907019,XGB.55,0.755914128032475,XGB.55,0.754966664001724,XGB.55,0.761256745160548
random_forest.39,0.7554262312708,random_forest.39,0.761981185507966,random_forest.39,0.747841117548394,random_forest.39,0.757615542965895,random_forest.39,0.759293934543036,random_forest.39,0.760866296627778,random_forest.39,0.766714209746234,random_forest.39,0.754072062969481,random_forest.39,0.752433317072214,random_forest.39,0.765289802714099,random_forest.39,0.768463404935645,random_forest.39,0.750229925078012,random_forest.39,0.764264364425471,random_forest.39,0.756888311752967,random_forest.39,0.759419411374628
random_forest.46,0.753681525116567,random_forest.46,0.75887200829373,random_forest.46,0.74413951112429,random_forest.46,0.755093777118603,random_forest.46,0.755302757389551,random_forest.46,0.760018723937928,random_forest.46,0.766804589223999,random_forest.46,0.750855246063875,random_forest.46,0.749503077795972,random_forest.46,0.76381022594659,random_forest.46,0.764436149635871,random_forest.46,0.748183869676497,random_forest.46,0.762340093454262,random_forest.46,0.755547479989101,random_forest.46,0.757517230042671
random_forest.4,0.751253783637097,random_forest.4,0.7587891122015,random_forest.4,0.743728883360424,random_forest.4,0.756417423690099,random_forest.4,0.759248237286549,random_forest.4,0.756489954716102,random_forest.4,0.763384248247027,random_forest.4,0.752958451044085,random_forest.4,0.749825349458141,random_forest.4,0.761301338608649,random_forest.4,0.767659449433653,random_forest.4,0.748859873168752,random_forest.4,0.759201771474559,random_forest.4,0.753512206037026,random_forest.4,0.758556391480408
