AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.851,0.750714714178615,XGB.851,0.754937291762249,XGB.851,0.750335531338773,XGB.851,0.750832126742595,XGB.851,0.756817697709055,XGB.851,0.764631833380678,XGB.851,0.757840111732666,XGB.851,0.749511439364796,XGB.851,0.752076873755629,XGB.851,0.762267521750798,XGB.851,0.763431267034569,XGB.851,0.745957283000558,XGB.851,0.752740978420573,XGB.851,0.758358685957462,XGB.851,0.761561125068586
XGB.55,0.75375601782664,XGB.55,0.755099672200455,XGB.55,0.753031756803067,XGB.55,0.755060721854598,XGB.55,0.757254571595997,XGB.55,0.759625587280426,XGB.55,0.759130710811466,XGB.55,0.749375120655533,XGB.55,0.754948748957204,XGB.55,0.764284178495169,XGB.55,0.764062592507424,XGB.55,0.74888485421225,XGB.55,0.750009183815241,XGB.55,0.754472366245463,XGB.55,0.758237724302612
random_forest.39,0.75443072601163,random_forest.39,0.761546079275995,random_forest.39,0.748513035529124,random_forest.39,0.758811812502965,random_forest.39,0.758924651920884,random_forest.39,0.760698006822002,random_forest.39,0.767230865971236,random_forest.39,0.754652550700296,random_forest.39,0.752699440860868,random_forest.39,0.765484462991512,random_forest.39,0.768986434723276,random_forest.39,0.74986940845927,random_forest.39,0.763468492416327,random_forest.39,0.757193210239604,random_forest.39,0.759936968132442
elastic_net.2,0.727511260184646,elastic_net.2,0.725233144825602,elastic_net.2,0.714264573002632,elastic_net.2,0.720975992659658,elastic_net.2,0.731804234321619,elastic_net.2,0.728684808058543,elastic_net.2,0.728287978410964,elastic_net.2,0.72375730810262,elastic_net.2,0.730208922679668,elastic_net.2,0.722263175117868,elastic_net.2,0.72998038372381,elastic_net.2,0.718477206995721,elastic_net.2,0.720404138368076,elastic_net.2,0.723518083443963,elastic_net.2,0.728445163302295
elastic_net_interactions.16,0.748572470557594,elastic_net_interactions.16,0.754421829455777,elastic_net_interactions.16,0.741161087029889,elastic_net_interactions.16,0.752640868145622,elastic_net_interactions.16,0.74396486211184,elastic_net_interactions.16,0.751667298035601,elastic_net_interactions.16,0.744474520553204,elastic_net_interactions.16,0.74915340681857,elastic_net_interactions.16,0.750080722329984,elastic_net_interactions.16,0.739680415485619,elastic_net_interactions.16,0.746034022474209,elastic_net_interactions.16,0.743617095959484,elastic_net_interactions.16,0.757840664622999,elastic_net_interactions.16,0.745761611544302,elastic_net_interactions.16,0.742120491314711
