model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean,version,AUC_sd,AUC_lb,AUC_ub,modelID
XGB,770,0.819748556232606,0.8183867201945,0.815014920792281,0.818837889331391,0.825165816837271,0.825474319982419,0.822595039519682,0.814798663034547,0.818327559815006,0.824952604980779,0.823682027363474,0.815890522301425,0.820882351609112,0.822502083662925,0.820932784665303,0.820479457354848,Extra biomarkers,0.00360099926079336,0.816878458094055,0.824080456615642,XGB.770
XGB,1289,0.819733215261432,0.818453218728701,0.813771699711232,0.820040372166316,0.823409189860945,0.824847146668188,0.824445857660025,0.815459869810991,0.81810170257959,0.824342881154971,0.825131638267981,0.816973622850422,0.819652304707348,0.822396698263687,0.820238606030424,0.820466534914817,Extra biomarkers,0.00355936274795921,0.816907172166858,0.824025897662776,XGB.1289
XGB,785,0.8194069613875,0.818201600600752,0.813568759250486,0.819302796393678,0.823437383177372,0.825698867652295,0.82309281063831,0.815810637177545,0.819700733542027,0.823913631633842,0.824275977156275,0.815318603301413,0.821231318944958,0.822798347790257,0.820053537024581,0.820387464378086,Extra biomarkers,0.0035811528639337,0.816806311514152,0.82396861724202,XGB.785
XGB,89,0.819443387080857,0.818007853097331,0.814163662850493,0.820010519950919,0.823764666476835,0.824864733510079,0.823588822498205,0.815932776402058,0.818844496424764,0.823869721178004,0.825281958598311,0.81614437076415,0.820888714003561,0.822227242859849,0.81875051448458,0.820385562678666,Extra biomarkers,0.0034821828374673,0.816903379841199,0.823867745516133,XGB.89
XGB,689,0.819742139060094,0.818222048812821,0.814276656065639,0.819335071056475,0.82364250117804,0.824422727433997,0.824525142595985,0.816399024966098,0.818583133457717,0.823406187646621,0.824929110782268,0.816151102596825,0.820379176210403,0.822195137040166,0.819302909300642,0.820367471213586,Extra biomarkers,0.00336835322372299,0.816999117989863,0.823735824437309,XGB.689
XGB,646,0.820478618359559,0.816460274700553,0.814283788087777,0.819746129066471,0.823973982663399,0.823629782777333,0.823034193343254,0.814154925350048,0.819814127699246,0.823006946977462,0.826976055103113,0.816712272495737,0.819374366300549,0.82272275945294,0.82056184492856,0.820328671153733,Extra biomarkers,0.00371183684691416,0.816616834306819,0.824040508000647,XGB.646
XGB,1393,0.819264107507204,0.818002743429001,0.813455549611329,0.818884747866054,0.823563911812092,0.824878303170221,0.82282657012571,0.815618674585309,0.819606150086933,0.823698666927475,0.824705798283829,0.815910070833932,0.821424816921773,0.822897119888134,0.819910378273891,0.820309840621526,Extra biomarkers,0.00352529374397836,0.816784546877548,0.823835134365504,XGB.1393
XGB,1286,0.822132670362115,0.818684349008577,0.814461116164903,0.819270587462135,0.82349843150677,0.822898839844824,0.824364987497263,0.814949316129063,0.817046114967915,0.823471785567466,0.824511542913705,0.815311516740305,0.819489137442579,0.822476606343328,0.821894665049483,0.820297444466696,Extra biomarkers,0.00353014730197684,0.816767297164719,0.823827591768673,XGB.1286
XGB,1389,0.81996875887781,0.818214549173762,0.814622871919055,0.819562820632941,0.823554312174339,0.825496632575096,0.823404399295747,0.815005250738038,0.819197734004281,0.823522716861617,0.824163451503354,0.815695671114765,0.820571916651394,0.822908991105805,0.818536355092055,0.820295095448004,Extra biomarkers,0.0034868845813832,0.816808210866621,0.823781980029387,XGB.1389
XGB,1209,0.820186137257147,0.818386644411665,0.814078668662186,0.819006837718593,0.823435077898253,0.825287375043235,0.824335680613148,0.815790526490794,0.817906658803243,0.823383242193567,0.824686714216601,0.816362214083964,0.81949315930595,0.822414339515869,0.819102918866873,0.820257079672073,Extra biomarkers,0.00350394163444178,0.816753138037631,0.823761021306515,XGB.1209
XGB,1373,0.819689644295831,0.818127262948505,0.814108560785165,0.818993596693143,0.823603487045684,0.825047920752998,0.823216970885927,0.815715420169016,0.819019865873436,0.823216128651759,0.824107445600673,0.815641602333591,0.820417678305408,0.822700585245721,0.820231324448232,0.820255832935673,Extra biomarkers,0.00338282186363214,0.816873011072041,0.823638654799305,XGB.1373
XGB,653,0.818993383885822,0.818933532584706,0.81361634560248,0.819594148700083,0.823548515068324,0.823923773596541,0.823897653566623,0.81618729683653,0.818515148455818,0.824100173056176,0.825786775164319,0.814952178432947,0.819978317350694,0.822944995787023,0.818687282020295,0.820243968007225,Extra biomarkers,0.00366713317594764,0.816576834831277,0.823911101183173,XGB.653
XGB,781,0.819724939879544,0.818119591335878,0.814002445251177,0.819201110798979,0.823058407722119,0.825148836233943,0.822856391211047,0.814823669538527,0.819659863986131,0.824090723975506,0.823783770669479,0.81546752762996,0.820954917199082,0.823063493809806,0.819672984507339,0.820241911583234,Extra biomarkers,0.00350789054853507,0.816734021034699,0.823749802131769,XGB.781
XGB,181,0.819055072650782,0.817928977574436,0.813592631315965,0.818842831852658,0.824609300062575,0.825350240877404,0.823338823396856,0.815402135468677,0.818507723484935,0.823665710700085,0.824149209975176,0.81654535608208,0.820572165769215,0.822436276130668,0.819509404964198,0.820233724020381,Extra biomarkers,0.00358800764971255,0.816645716370669,0.823821731670094,XGB.181
XGB,9,0.820227682683854,0.818177155691319,0.81405646429015,0.819761049885281,0.823567841542518,0.824645620834424,0.823158608664498,0.816198309994977,0.818407591821626,0.823902046041237,0.824125217797966,0.815627411150512,0.820323272439193,0.821919319591931,0.819373222957576,0.820231387692471,Extra biomarkers,0.00332495947316347,0.816906428219308,0.823556347165635,XGB.9
XGB,649,0.819973376164617,0.817928787301534,0.814251173837468,0.818486844137378,0.822843819773094,0.824144895992938,0.824743522671137,0.816451749228233,0.819079761698867,0.823036200881238,0.825296291748976,0.816303671002871,0.82038069852581,0.822169748169392,0.818375149239403,0.820231046024864,Extra biomarkers,0.00336429669482351,0.81686674933004,0.823595342719688,XGB.649
XGB,1329,0.81996878203046,0.818151861369011,0.814243115870459,0.818907699427803,0.823632433650669,0.824474772737246,0.824291920632042,0.815742350362156,0.818068635695632,0.822951586221457,0.82483756622577,0.81576066801171,0.819866905806009,0.822384736728956,0.820138920607207,0.820228130358439,Extra biomarkers,0.00344629301012358,0.816781837348316,0.823674423368563,XGB.1329
XGB,1341,0.819363984789541,0.818466691066782,0.81327371054502,0.819742911533391,0.823243040809487,0.825211462089838,0.823535885087738,0.815575229284589,0.818687957799942,0.824025138146054,0.824594886928025,0.816020049236402,0.820592653764601,0.823100371086451,0.817980028458715,0.820227600041772,Extra biomarkers,0.00364461765073078,0.816582982391041,0.823872217692503,XGB.1341
XGB,1377,0.819774026322545,0.818325525818662,0.814269920828092,0.819205530390631,0.823827773254377,0.824728586984625,0.823259561579807,0.815250013326111,0.818702581527263,0.823088383589142,0.82469504263854,0.815352957324861,0.820310464841566,0.822883692398561,0.819641602190383,0.820221044201011,Extra biomarkers,0.00347630618083568,0.816744738020175,0.823697350381847,XGB.1377
XGB,189,0.820375883997369,0.817869830314124,0.81321976043536,0.819563178107135,0.823582394895943,0.824898846095922,0.823643645116518,0.815287268437051,0.819140866150488,0.823062771048031,0.824833206344215,0.815843661938852,0.820318030144412,0.822503346049132,0.819051721585428,0.820212960710665,Extra biomarkers,0.00359066396647201,0.816622296744193,0.823803624677137,XGB.189
XGB,1369,0.819508466565631,0.81772675651333,0.813874787149255,0.818987627176089,0.823983543227535,0.825699395851776,0.822673855977651,0.816282610989282,0.818425478999452,0.82347978093655,0.824753516915425,0.814761338891873,0.820354584961263,0.822530924332417,0.820046201642321,0.820205924675323,Extra biomarkers,0.00362331184670209,0.816582612828621,0.823829236522025,XGB.1369
XGB,1385,0.819657918553347,0.818601322097452,0.814564196658205,0.819507115602229,0.823583304247837,0.824928616012454,0.823229009537773,0.815893061588842,0.818442233552224,0.823461076873325,0.823743173894095,0.815091516935699,0.820253879570615,0.822979321290674,0.819126604097765,0.820204156700836,Extra biomarkers,0.00335812086980628,0.81684603583103,0.823562277570642,XGB.1385
