AUC_01.base_model,AUC_01.AUC,AUC_02.base_model,AUC_02.AUC,AUC_03.base_model,AUC_03.AUC,AUC_04.base_model,AUC_04.AUC,AUC_05.base_model,AUC_05.AUC,AUC_06.base_model,AUC_06.AUC,AUC_07.base_model,AUC_07.AUC,AUC_08.base_model,AUC_08.AUC,AUC_09.base_model,AUC_09.AUC,AUC_10.base_model,AUC_10.AUC,AUC_11.base_model,AUC_11.AUC,AUC_12.base_model,AUC_12.AUC,AUC_13.base_model,AUC_13.AUC,AUC_14.base_model,AUC_14.AUC,AUC_15.base_model,AUC_15.AUC
XGB.109,0.754025169624551,XGB.109,0.75719275551389,XGB.109,0.755050866891127,XGB.109,0.757629223978806,XGB.109,0.759248555201918,XGB.109,0.764586696451485,XGB.109,0.761443926455336,XGB.109,0.754869234355483,XGB.109,0.75798573496831,XGB.109,0.767310072509702,XGB.109,0.767562105858232,XGB.109,0.75039384674555,XGB.109,0.756057436593408,XGB.109,0.759414795559208,XGB.109,0.766237260919911
XGB.851,0.751232283267737,XGB.851,0.750540757896428,XGB.851,0.748792428319372,XGB.851,0.754710462313293,XGB.851,0.758328318239507,XGB.851,0.760707664380642,XGB.851,0.758135256079664,XGB.851,0.751981849723055,XGB.851,0.754831759605901,XGB.851,0.76261455209568,XGB.851,0.762499306816294,XGB.851,0.748654816194218,XGB.851,0.753251159421451,XGB.851,0.756371993944116,XGB.851,0.759168205880284
XGB.55,0.752429508455566,XGB.55,0.749618368699443,XGB.55,0.753461261058128,XGB.55,0.753032115731138,XGB.55,0.752266251528841,XGB.55,0.758775687883543,XGB.55,0.758510822958615,XGB.55,0.752736559077638,XGB.55,0.754041497139289,XGB.55,0.758543785099587,XGB.55,0.765906619924761,XGB.55,0.750452195060489,XGB.55,0.753530853414086,XGB.55,0.755778337195548,XGB.55,0.760559452692705
random_forest.39,0.754866391715193,random_forest.39,0.761826252358669,random_forest.39,0.7479888635082,random_forest.39,0.757442734820396,random_forest.39,0.759115212648082,random_forest.39,0.761226057912769,random_forest.39,0.767444762182619,random_forest.39,0.754216603705369,random_forest.39,0.752311141390056,random_forest.39,0.76499980645151,random_forest.39,0.769598405849699,random_forest.39,0.748648928051169,random_forest.39,0.764323360046412,random_forest.39,0.757703901000451,random_forest.39,0.759855147345541
random_forest.46,0.753212739180136,random_forest.46,0.759710118430774,random_forest.46,0.743414742970991,random_forest.46,0.755520997972413,random_forest.46,0.756653478436825,random_forest.46,0.760100726627734,random_forest.46,0.76501415142784,random_forest.46,0.751213214340951,random_forest.46,0.75033619692732,random_forest.46,0.76416621690688,random_forest.46,0.766734635741634,random_forest.46,0.747674226928228,random_forest.46,0.763156526469402,random_forest.46,0.754393872004846,random_forest.46,0.755681466009334
random_forest.4,0.755345482165842,random_forest.4,0.755795999279795,random_forest.4,0.742574882887059,random_forest.4,0.75647974411862,random_forest.4,0.754433981946544,random_forest.4,0.759329587773042,random_forest.4,0.762594262814652,random_forest.4,0.751340536776665,random_forest.4,0.750560524126679,random_forest.4,0.761972424158824,random_forest.4,0.764079525109569,random_forest.4,0.744141910994895,random_forest.4,0.759153194378962,random_forest.4,0.756954553898269,random_forest.4,0.757717244194045
